"ItemName","Page","GID","GrupID","Value","Conf","KeyWord","x","y","w","h"
Image,-1,-1,-1,固定資産1_3.png,-1,-1,-1,-1,-1,-1
Image_jshfilename,-1,-1,-1,C:\AIRead_ETL\ocrtemp\31_202508261850316699\success\固定資産1_3.png,-1,-1,-1,-1,-1,-1
modifyDate,-1,-1,-1,2025-08-26T18:51:00,-1,-1,-1,-1,-1,-1
processDate,-1,-1,-1,2025-08-26T19:09:07,-1,-1,-1,-1,-1,-1
result,-1,-1,-1,true,-1,-1,-1,-1,-1,-1
form_id,-1,-1,-1,05_010_00_00,-1,-1,-1,-1,-1,-1
image_width,3,-1,-1,3508,-1,-1,-1,-1,-1,-1
image_height,3,-1,-1,2480,-1,-1,-1,-1,-1,-1
formid,3,,-1,05_010_00,100,,-1,-1,-1,-1
物件名称,3,detail,0,(建物(定額)),99,null,362,353,377,36
物件名称,3,detail,1,19-00 鉄骨造り(中古倉庫)改造費,99,null,236,425,440,68
物件名称,3,detail,2,20-00 木造(中古事務所)改造費,99,null,236,509,406,70
物件名称,3,detail,3,52-00 鉄骨造り(中古倉庫)改造費,99,null,236,593,439,69
物件名称,3,detail,4,※資産計※建物(定額),99,null,240,692,457,38
物件名称,3,detail,5,,100,null,0,0,0,0
物件名称,3,detail,6,(建物(定率)),99,null,361,862,377,36
物件名称,3,detail,7,1-00 木造(中古事務所),99,null,235,930,283,70
物件名称,3,detail,8,2-00 鉄骨造り(中古倉庫),99,null,235,1017,317,70
物件名称,3,detail,9,※資産計※建物(定率),99,null,240,1116,474,38
物件名称,3,detail,10,※建物計※,99,null,449,1200,200,37
物件名称,3,detail,11,,100,null,0,0,0,0
物件名称,3,detail,12,(建物付属設備(定率)),97,null,361,1369,374,40
物件名称,3,detail,13,12-00 屋内電気設備(事務所),99,null,233,1441,357,70
物件名称,3,detail,14,13-00 屋内給排水設備(事務所),99,null,234,1527,385,69
物件名称,3,detail,15,15-00 屋内給水設備(倉庫),99,null,234,1611,318,69
物件名称,3,detail,16,17-00 屋内動力配線工事(工場),99,null,236,1696,383,71
物件名称,3,detail,17,18-00 壁面改造(倉庫),99,null,234,1783,249,69
物件名称,3,detail,18,53-00 電気配線増設(倉庫),99,null,235,1868,316,69
物件名称,3,detail,19,※資産計※ 建物付属設備(定率),99,null,239,1967,602,37
物件名称,3,detail,20,,100,null,0,0,0,0
物件名称,3,detail,21,(構築物(定率)),99,null,361,2138,377,36
物件名称,3,detail,22,8-00 土間コンクリート(倉庫),99,null,236,2210,383,69
数量,3,detail,0,,100,null,0,0,0,0
数量,3,detail,1,1,99,null,958,456,6,35
数量,3,detail,2,1,99,null,957,539,7,34
数量,3,detail,3,1,99,null,957,625,7,31
数量,3,detail,4,,100,null,0,0,0,0
数量,3,detail,5,,100,null,0,0,0,0
数量,3,detail,6,,100,null,0,0,0,0
数量,3,detail,7,1,99,null,957,962,9,34
数量,3,detail,8,1,99,null,957,1050,9,30
数量,3,detail,9,,100,null,0,0,0,0
数量,3,detail,10,,100,null,0,0,0,0
数量,3,detail,11,,100,null,0,0,0,0
数量,3,detail,12,,100,null,0,0,0,0
数量,3,detail,13,1,99,null,956,1473,10,35
数量,3,detail,14,1,99,null,956,1558,10,34
数量,3,detail,15,1,99,null,956,1642,10,34
数量,3,detail,16,1,99,null,956,1728,10,34
数量,3,detail,17,1,99,null,956,1821,12,22
数量,3,detail,18,1,99,null,956,1906,12,22
数量,3,detail,19,,100,null,0,0,0,0
数量,3,detail,20,,100,null,0,0,0,0
数量,3,detail,21,,100,null,0,0,0,0
数量,3,detail,22,1,99,null,956,2246,12,23
傍慧,3,detail,0,,100,null,0,0,0,0
傍慧,3,detail,1,旧定額,99,null,977,456,77,35
傍慧,3,detail,2,旧定額,99,null,977,539,77,34
傍慧,3,detail,3,定額,99,null,977,625,61,31
傍慧,3,detail,4,,100,null,0,0,0,0
傍慧,3,detail,5,,100,null,0,0,0,0
傍慧,3,detail,6,,100,null,0,0,0,0
傍慧,3,detail,7,旧定率,99,null,979,962,75,34
傍慧,3,detail,8,旧定率,99,null,979,1050,75,30
傍慧,3,detail,9,,100,null,0,0,0,0
傍慧,3,detail,10,,100,null,0,0,0,0
傍慧,3,detail,11,,100,null,0,0,0,0
傍慧,3,detail,12,,100,null,0,0,0,0
傍慧,3,detail,13,旧定率,99,null,979,1473,73,35
傍慧,3,detail,14,旧定率,99,null,979,1558,73,34
