"ItemName","Page","GID","GrupID","Value","Conf","KeyWord","x","y","w","h"
"Image","-1","-1","-1","固定資産1_4.png","-1","-1","-1","-1","-1","-1"
"Image_jshfilename","-1","-1","-1","C:\AIRead_ETL\ocrtemp\31_202508261850316699\success\固定資産1_4.png","-1","-1","-1","-1","-1","-1"
"modifyDate","-1","-1","-1","2025-08-26T18:51:04","-1","-1","-1","-1","-1","-1"
"processDate","-1","-1","-1","2025-08-26T19:09:07","-1","-1","-1","-1","-1","-1"
"result","-1","-1","-1","true","-1","-1","-1","-1","-1","-1"
"form_id","-1","-1","-1","05_010_00_00","-1","-1","-1","-1","-1","-1"
"image_width","4","-1","-1","3508","-1","-1","-1","-1","-1","-1"
"image_height","4","-1","-1","2480","-1","-1","-1","-1","-1","-1"
"formid","4","","-1","05_010_00","100","","-1","-1","-1","-1"
"物件名称","4","detail","0","9-00 コンクリート造り(駐車場)","99","null","235","337","416","69"
"物件名称","4","detail","1","※資産計※構築物(定率)","99","null","236","437","506","37"
"物件名称","4","detail","2","","100","null","0","0","0","0"
"物件名称","4","detail","3","(機械装置)","99","null","358","607","377","36"
"物件名称","4","detail","4","6-00 紙折機","99","null","228","678","158","70"
"物件名称","4","detail","5","7-00 裁断機(NCW-137HH. NCD-6)","88","null","232","762","604","68"
"物件名称","4","detail","6","23-00 排紙スタッカー","99","null","227","845","236","72"
"物件名称","4","detail","7","24-00 パレットフィルム包装機","99","null","237","929","372","70"
"物件名称","4","detail","8","25-00 紙折機(ムルマルチ350)","99","null","232","1015","423","71"
"物件名称","4","detail","9","40-00 自動貼付機(両面テープ)","99","null","234","1101","387","70"
"物件名称","4","detail","10","46-00 型抜裁断機エキセン(中古)","99","null","230","1184","421","70"
"物件名称","4","detail","11","50-00 ウエツ自動紐結束機(ECS-45型)","96","null","232","1269","418","69"
"物件名称","4","detail","12","56-00 断裁機(NCW116HHD7)","96","null","234","1355","319","71"
"物件名称","4","detail","13","65-00 折機ロール(正栄機械)","99","null","233","1441","351","70"
"物件名称","4","detail","14","66-00 自動貼付機(FT-1000N)","99","null","239","1526","400","68"
"物件名称","4","detail","15","80-00 A倍紙揃機エアー抜き(中古)","99","null","234","1609","421","75"
"物件名称","4","detail","16","81-00 折機ローラー","99","null","231","1695","196","74"
"物件名称","4","detail","17","83-00 横型プレススタッカーA2型(中古)","99","null","234","1785","526","65"
"物件名称","4","detail","18","※資産計※機械装置","99","null","240","1880","434","39"
"物件名称","4","detail","19","","100","null","0","0","0","0"
"物件名称","4","detail","20","(車両運搬具)","99","null","362","2051","376","36"
"物件名称","4","detail","21","59-00 タイタン3t400た2207","98","null","241","2123","371","71"
"物件名称","4","detail","22","60-00 トヨタリーチフォークリフト7FBR15","99","null","239","2209","319","68"
"数量","4","detail","0","1","99","null","953","366","7","34"
"数量","4","detail","1","","100","null","0","0","0","0"
"数量","4","detail","2","","100","null","0","0","0","0"
"数量","4","detail","3","","100","null","0","0","0","0"
"数量","4","detail","4","1","99","null","955","708","7","31"
"数量","4","detail","5","1","99","null","955","791","7","34"
"数量","4","detail","6","1","99","null","955","874","9","34"
"数量","4","detail","7","1","99","null","955","960","9","34"
"数量","4","detail","8","1","99","null","955","1045","9","34"
"数量","4","detail","9","1","99","null","955","1130","9","32"
"数量","4","detail","10","1","99","null","954","1213","10","34"
"数量","4","detail","11","1","99","null","954","1306","12","22"
"数量","4","detail","12","1","99","null","955","1392","11","22"
"数量","4","detail","13","1","99","null","955","1478","11","22"
"数量","4","detail","14","1","99","null","955","1561","11","22"
"数量","4","detail","15","1","99","null","957","1638","9","33"
"数量","4","detail","16","6","99","null","955","1732","13","22"
"数量","4","detail","17","1","99","null","958","1811","10","33"
"数量","4","detail","18","","100","null","0","0","0","0"
"数量","4","detail","19","","100","null","0","0","0","0"
"数量","4","detail","20","","100","null","0","0","0","0"
"数量","4","detail","21","1","99","null","958","2159","12","23"
"数量","4","detail","22","1","99","null","958","2244","12","22"
"方法 傍ジ","4","detail","0","旧定率","99","null","974","366","70","34"
"方法 傍ジ","4","detail","1","","100","null","0","0","0","0"
"方法 傍ジ","4","detail","2","","100","null","0","0","0","0"
"方法 傍ジ","4","detail","3","","100","null","0","0","0","0"
"方法 傍ジ","4","detail","4","旧定率","99","null","975","708","71","31"
"方法 傍ジ","4","detail","5","旧定率","99","null","975","791","71","34"
"方法 傍ジ","4","detail","6","旧定率","99","null","977","874","69","34"
"方法 傍ジ","4","detail","7","旧定率","99","null","977","960","69","34"
"方法 傍ジ","4","detail","8","旧定率","99","null","977","1045","69","34"
"方法 傍ジ","4","detail","9","旧定率","99","null","977","1130","69","32"
"方法 傍ジ","4","detail","10","旧定率","99","null","977","1213","69","34"
"方法 傍ジ","4","detail","11","H19定率","99","null","979","1299","69","34"
"方法 傍ジ","4","detail","12","H19定率","99","null","979","1384","69","34"
"方法 傍ジ","4","detail","13","定率","99","null","979","1470","59","34"
"方法 傍ジ","4","detail","14","定率","99","null","979","1555","60","32"
"方法 傍ジ","4","detail","15","定率","99","null","979","1638","61","33"
"方法 傍ジ","4","detail","16","定率","99","null","981","1725","61","36"
"方法 傍ジ","4","detail","17","定率","99","null","981","1811","60","33"
"方法 傍ジ","4","detail","18","","100","null","0","0","0","0"
"方法 傍ジ","4","detail","19","","100","null","0","0","0","0"
"方法 傍ジ","4","detail","20","","100","null","0","0","0","0"
"方法 傍ジ","4","detail","21","H19定率","86","null","983","2153","67","32"
"方法 傍ジ","4","detail","22","HI9定率","94","null","983","2235","67","37"
"髪偉","4","detail","0","H10.5 H10.5","98","null","1056","331","92","69"
"髪偉","4","detail","1","","100","null","0","0","0","0"
"髪偉","4","detail","2","","100","null","0","0","0","0"
"髪偉","4","detail","3","","100","null","0","0","0","0"
"髪偉","4","detail","4","H7.6 H7.6","86","null","1060","671","91","68"
"髪偉","4","detail","5","H7.7 H7.7","99","null","1060","755","88","70"
"髪偉","4","detail","6","H105 H10.5","99","null","1057","840","94","68"
"髪偉","4","detail","7","H10.5 H10.5","90","null","1057","925","94","69"
"髪偉","4","detail","8","H10.5 H10.5","82","null","1057","1008","94","71"
"髪偉","4","detail","9","H16.2 H162","96","null","1058","1096","94","66"
"髪偉","4","detail","10","H19.1 H19,1","91","null","1056","1179","93","68"
"髪偉","4","detail","11","H204 H204","96","null","1056","1264","96","69"
"髪偉","4","detail","12","H22.3 H22.3","93","null","1057","1350","94","68"
"髪偉","4","detail","13","H24。9 H24.9","84","null","1056","1435","96","71"
"髪偉","4","detail","14","H25.8 H258","75","null","1058","1521","96","63"
"髪偉","4","detail","15","R26 R2.6","99","null","1055","1604","98","67"
"髪偉","4","detail","16","R2.11 R2.11","99","null","1060","1690","90","66"
"髪偉","4","detail","17","R49 R4.9","98","null","1056","1776","98","68"
"髪偉","4","detail","18","","100","null","0","0","0","0"
"髪偉","4","detail","19","","100","null","0","0","0","0"
"髪偉","4","detail","20","","100","null","0","0","0","0"
"髪偉","4","detail","21","H237 H23.7","99","null","1060","2116","94","69"
"髪偉","4","detail","22","H23.8 H23.8","87","null","1056","2199","98","73"
"彙","4","detail","0","1E","61","null","1185","372","19","23"
"彙","4","detail","1","","100","null","0","0","0","0"
"彙","4","detail","2","","100","null","0","0","0","0"
"彙","4","detail","3","","100","null","0","0","0","0"
"彙","4","detail","4","12","99","null","1186","713","20","22"
"彙","4","detail","5","12","99","null","1186","796","20","23"
"彙","4","detail","6","12","99","null","1186","880","22","23"
"彙","4","detail","7","12","99","null","1186","965","22","23"
"彙","4","detail","8","12","99","null","1186","1051","22","23"
"彙","4","detail","9","12","99","null","1185","1135","23","23"
"彙","4","detail","10","9","99","null","1197","1219","11","22"
"彙","4","detail","11","12","99","null","1186","1305","24","22"
"彙","4","detail","12","12","99","null","1182","1386","28","31"
"彙","4","detail","13","12","99","null","1182","1472","28","29"
"彙","4","detail","14","12","99","null","1183","1560","27","22"
"彙","4","detail","15","5","99","null","1197","1644","13","22"
"彙","4","detail","16","12","99","null","1184","1727","28","30"
"彙","4","detail","17","2","99","null","1201","1816","11","22"
"彙","4","detail","18","","100","null","0","0","0","0"
"彙","4","detail","19","","100","null","0","0","0","0"
"彙","4","detail","20","","100","null","0","0","0","0"
"彙","4","detail","21","5","99","null","1198","2157","16","23"
"彙","4","detail","22","4","99","null","1201","2242","13","22"
"偉摯","4","detail","0","12/60","99","null","1219","367","76","31"
"偉摯","4","detail","1","","100","null","0","0","0","0"
"偉摯","4","detail","2","","100","null","0","0","0","0"
"偉摯","4","detail","3","","100","null","0","0","0","0"
"偉摯","4","detail","4","12/60","99","null","1219","707","78","32"
"偉摯","4","detail","5","12/60","99","null","1219","791","74","31"
"偉摯","4","detail","6","12/60","99","null","1221","872","76","35"
"偉摯","4","detail","7","12/60","99","null","1221","958","76","33"
"偉摯","4","detail","8","12/60","99","null","1221","1045","76","33"
"偉摯","4","detail","9","12/60","99","null","1221","1129","72","32"
"偉摯","4","detail","10","12/60","99","null","1221","1212","79","34"
"偉摯","4","detail","11","0,250","92","null","1223","1300","71","30"
"偉摯","4","detail","12","0.250","95","null","1223","1386","71","31"
"偉摯","4","detail","13","0,200","88","null","1223","1472","71","29"
"偉摯","4","detail","14","0,200","98","null","1223","1552","77","37"
"偉摯","4","detail","15","0,400","91","null","1223","1641","73","27"
"偉摯","4","detail","16","0.167","92","null","1225","1727","71","30"
"偉摯","4","detail","17","1,000","99","null","1225","1810","74","33"
"偉摯","4","detail","18","","100","null","0","0","0","0"
"偉摯","4","detail","19","","100","null","0","0","0","0"
"偉摯","4","detail","20","","100","null","0","0","0","0"
"偉摯","4","detail","21","1,000","98","null","1227","2152","69","31"
"偉摯","4","detail","22","1,000","99","null","1227","2234","70","35"
"期間","4","detail","0","12","99","null","1317","368","25","28"
"期間","4","detail","1","","100","null","0","0","0","0"
"期間","4","detail","2","","100","null","0","0","0","0"
"期間","4","detail","3","","100","null","0","0","0","0"
"期間","4","detail","4","","100","null","0","0","0","0"
"期間","4","detail","5","","100","null","0","0","0","0"
"期間","4","detail","6","","100","null","0","0","0","0"
"期間","4","detail","7","","100","null","0","0","0","0"
"期間","4","detail","8","","100","null","0","0","0","0"
"期間","4","detail","9","12","99","null","1318","1132","26","27"
"期間","4","detail","10","12","99","null","1314","1212","30","34"
"期間","4","detail","11","","100","null","0","0","0","0"
"期間","4","detail","12","","100","null","0","0","0","0"
"期間","4","detail","13","12","99","null","1307","1471","47","29"
"期間","4","detail","14","12","99","null","1314","1552","32","37"
"期間","4","detail","15","12","99","null","1320","1640","26","28"
"期間","4","detail","16","12","99","null","1320","1727","26","30"
"期間","4","detail","17","12","99","null","1321","1811","25","29"
"期間","4","detail","18","","100","null","0","0","0","0"
"期間","4","detail","19","","100","null","0","0","0","0"
"期間","4","detail","20","","100","null","0","0","0","0"
"期間","4","detail","21","","100","null","0","0","0","0"
"期間","4","detail","22","","100","null","0","0","0","0"
"取得価額","4","detail","0","616,460","99","null","1438","368","121","32"
"取得価額","4","detail","1","4,061,029","99","null","1402","453","156","32"
"取得価額","4","detail","2","","100","null","0","0","0","0"
"取得価額","4","detail","3","","100","null","0","0","0","0"
"取得価額","4","detail","4","1,545,000","99","null","1411","708","147","35"
"取得価額","4","detail","5","6,829,000","99","null","1409","791","149","32"
"取得価額","4","detail","6","7,050,000","99","null","1404","836","154","77"
"取得価額","4","detail","7","1,440,324","99","null","1411","960","147","33"
"取得価額","4","detail","8","909,676","99","null","1439","1046","119","33"
"取得価額","4","detail","9","600,000","99","null","1439","1130","119","32"
"取得価額","4","detail","10","1,470,000","99","null","1410","1214","148","32"
"取得価額","4","detail","11","490,000","99","null","1438","1298","122","39"
"取得価額","4","detail","12","11 7,700,000 I","57","null","1409","1359","154","59"
"取得価額","4","detail","13","376,550","99","null","1444","1471","116","32"
"取得価額","4","detail","14","550,000","99","null","1433","1519","127","71"
"取得価額","4","detail","15","300,000","99","null","1437","1620","123","54"
"取得価額","4","detail","16","635,000","99","null","1442","1722","118","42"
"取得価額","4","detail","17","670,000","99","null","1442","1811","118","32"
"取得価額","4","detail","18","30,565,550","99","null","1394","1874","166","57"
"取得価額","4","detail","19","","100","null","0","0","0","0"
"取得価額","4","detail","20","","100","null","0","0","0","0"
"取得価額","4","detail","21","3,093,905","99","null","1412","2152","148","33"
