"ItemName","Page","GID","GrupID","Value","Conf","KeyWord","x","y","w","h"
Image,-1,-1,-1,固定資産5_1.png,-1,-1,-1,-1,-1,-1
Image_jshfilename,-1,-1,-1,C:\AIRead_ETL\ocrtemp\31_202508261401321079\success\固定資産5_1.png,-1,-1,-1,-1,-1,-1
modifyDate,-1,-1,-1,2025-08-26T17:55:03,-1,-1,-1,-1,-1,-1
processDate,-1,-1,-1,2025-08-26T18:08:45,-1,-1,-1,-1,-1,-1
result,-1,-1,-1,true,-1,-1,-1,-1,-1,-1
form_id,-1,-1,-1,05_010_00_00,-1,-1,-1,-1,-1,-1
image_width,1,-1,-1,3508,-1,-1,-1,-1,-1,-1
image_height,1,-1,-1,2480,-1,-1,-1,-1,-1,-1
formid,1,,-1,05_010_00,100,,-1,-1,-1,-1
資産コード勘定 償却方法,1,detail,0,,100,null,0,0,0,0
資産コード勘定 償却方法,1,detail,1,,100,null,0,0,0,0
資産コード勘定 償却方法,1,detail,2,01,99,null,235,731,33,28
資産コード勘定 償却方法,1,detail,3,0200150011建物附属設備旧定率法,99,null,234,971,696,39
資産コード勘定 償却方法,1,detail,4,0200150021建物附属設備旧定率法,99,null,233,1096,697,39
資産コード勘定 償却方法,1,detail,5,0200150031建物附属設備旧定率法,99,null,232,1215,696,44
資産コード勘定 償却方法,1,detail,6,0200150041建物附属設備旧定率法,99,null,231,1346,694,35
資産コード勘定 償却方法,1,detail,7,0200150051建物附属設備旧定率法,84,null,233,1470,694,38
資産コード勘定 償却方法,1,detail,8,0200150061建物附属設備旧定率法,99,null,230,1594,693,36
資産コード勘定 償却方法,1,detail,9,0200150071建物附属設備旧定率法,99,null,229,1719,697,38
資産コード勘定 償却方法,1,detail,10,0200080081建物附属設備旧定率法,99,null,229,1843,693,37
資産コード勘定 償却方法,1,detail,11,0200150091建物附属設備旧定率(均),99,null,228,1968,718,40
資産コード勘定 償却方法,1,detail,12,0200150101建物附属設備旧定率(均),90,null,228,2091,718,40
資産名 資産区分,1,detail,0,期中除却・売却資産以外計,99,null,299,518,405,35
資産名 資産区分,1,detail,1,期中除却・売却資産計,99,null,300,639,407,39
資産名 資産区分,1,detail,2,米料建物計米米米,59,null,238,769,390,32
資産名 資産区分,1,detail,3,給排水設備 所有資産,99,null,233,1017,747,35
資産名 資産区分,1,detail,4,暖房設備 所有資産,99,null,232,1142,745,33
資産名 資産区分,1,detail,5,ガス工事 所有資産,99,null,230,1266,749,35
資産名 資産区分,1,detail,6,電気工事 所有資産,99,null,236,1390,743,35
資産名 資産区分,1,detail,7,排水ポンプ設置 所有資産,99,null,230,1515,745,33
資産名 資産区分,1,detail,8,倉庫電気設備工事 所有資産,99,null,235,1640,742,34
資産名 資産区分,1,detail,9,倉庫ルーフファン取付 所有資産,99,null,229,1763,747,35
資産名 資産区分,1,detail,10,倉庫自動火災報知設備 所有資産,99,null,229,1887,747,37
資産名 資産区分,1,detail,11,倉庫電気設備工事 所有資産,99,null,232,2014,742,35
資産名 資産区分,1,detail,12,倉庫給排水設備 所有資産,99,null,232,2139,742,34
場所,1,detail,0,,100,null,0,0,0,0
場所,1,detail,1,,100,null,0,0,0,0
場所,1,detail,2,,100,null,0,0,0,0
場所,1,detail,3,小布施町,99,null,641,1058,127,33
