"ItemName","Page","GID","GrupID","Value","Conf","KeyWord","x","y","w","h"
Image,-1,-1,-1,固定資産1_0.png,-1,-1,-1,-1,-1,-1
Image_jshfilename,-1,-1,-1,C:\AIRead_ETL\ocrtemp\31_202508261850316699\success\固定資産1_0.png,-1,-1,-1,-1,-1,-1
modifyDate,-1,-1,-1,2025-08-26T18:50:47,-1,-1,-1,-1,-1,-1
processDate,-1,-1,-1,2025-08-26T19:09:07,-1,-1,-1,-1,-1,-1
result,-1,-1,-1,true,-1,-1,-1,-1,-1,-1
form_id,-1,-1,-1,05_010_00_00,-1,-1,-1,-1,-1,-1
image_width,0,-1,-1,3508,-1,-1,-1,-1,-1,-1
image_height,0,-1,-1,2480,-1,-1,-1,-1,-1,-1
formid,0,,-1,05_010_00,100,,-1,-1,-1,-1
物件名称,0,detail,0,(建物(定額)),99,null,324,354,373,37
物件名称,0,detail,1,19-00 鉄骨造り(中古倉庫)改造費,99,null,193,422,441,70
物件名称,0,detail,2,20-00 木造(中古事務所)改造費,99,null,195,506,405,71
物件名称,0,detail,3,52-00 鉄骨造り(中古倉庫)改造費,99,null,195,590,437,70
物件名称,0,detail,4,※資産計※建物(定額),99,null,198,690,454,38
物件名称,0,detail,5,,100,null,0,0,0,0
物件名称,0,detail,6,(建物(定率)),99,null,320,861,373,35
物件名称,0,detail,7,1-00 木造(中古事務所),99,null,193,927,281,70
物件名称,0,detail,8,2-00 鉄骨造り(中古倉庫),99,null,193,1011,315,70
物件名称,0,detail,9,※資産計※建物(定率),99,null,196,1110,473,37
物件名称,0,detail,10,※建物計※,99,null,405,1195,199,37
物件名称,0,detail,11,,100,null,0,0,0,0
物件名称,0,detail,12,(建物付属設備(定率)),99,null,319,1364,370,38
物件名称,0,detail,13,12-00 屋内電気設備(事務所),99,null,190,1433,351,67
物件名称,0,detail,14,13-00 屋内給排水設備(事務所),99,null,192,1515,378,69
物件名称,0,detail,15,15-00 屋内給水設備(倉庫),99,null,188,1596,318,71
物件名称,0,detail,16,17-00 屋内動力配線工事(工場),98,null,190,1680,380,68
物件名称,0,detail,17,18-00 壁面改造(倉庫),99,null,188,1763,249,70
物件名称,0,detail,18,53-00 電気配線増設(倉庫),99,null,189,1847,315,71
物件名称,0,detail,19,※資産計※建物付属設備(定率),99,null,192,1946,599,38
物件名称,0,detail,20,,100,null,0,0,0,0
物件名称,0,detail,21,(構築物(定率)),99,null,313,2112,373,37
物件名称,0,detail,22,8-00 土間コンクリート(倉庫),99,null,186,2181,382,67
数基,0,detail,0,,100,null,0,0,0,0
数基,0,detail,1,1,99,null,914,456,8,33
数基,0,detail,2,1,99,null,913,540,9,33
数基,0,detail,3,1,99,null,912,624,8,36
数基,0,detail,4,,100,null,0,0,0,0
数基,0,detail,5,,100,null,0,0,0,0
数基,0,detail,6,,100,null,0,0,0,0
数基,0,detail,7,1,99,null,910,962,10,33
数基,0,detail,8,1,99,null,910,1045,10,34
数基,0,detail,9,,100,null,0,0,0,0
数基,0,detail,10,,100,null,0,0,0,0
数基,0,detail,11,,100,null,0,0,0,0
数基,0,detail,12,,100,null,0,0,0,0
数基,0,detail,13,1,99,null,907,1474,11,22
数基,0,detail,14,1,96,null,907,1556,11,20
数基,0,detail,15,1,99,null,907,1636,11,23
数基,0,detail,16,1,99,null,906,1720,12,23
数基,0,detail,17,1,99,null,906,1802,12,24
数基,0,detail,18,1,99,null,905,1888,13,22
数基,0,detail,19,,100,null,0,0,0,0
数基,0,detail,20,,100,null,0,0,0,0
数基,0,detail,21,,100,null,0,0,0,0
数基,0,detail,22,1,99,null,904,2219,12,22
償却,0,detail,0,,100,null,0,0,0,0
償却,0,detail,1,,100,null,0,0,0,0
償却,0,detail,2,,100,null,0,0,0,0
償却,0,detail,3,,100,null,0,0,0,0
償却,0,detail,4,,100,null,0,0,0,0
償却,0,detail,5,,100,null,0,0,0,0
償却,0,detail,6,,100,null,0,0,0,0
償却,0,detail,7,,100,null,0,0,0,0
償却,0,detail,8,,100,null,0,0,0,0
償却,0,detail,9,,100,null,0,0,0,0
償却,0,detail,10,,100,null,0,0,0,0
償却,0,detail,11,,100,null,0,0,0,0
償却,0,detail,12,,100,null,0,0,0,0
償却,0,detail,13,,100,null,0,0,0,0
償却,0,detail,14,,100,null,0,0,0,0
償却,0,detail,15,,100,null,0,0,0,0
償却,0,detail,16,,100,null,0,0,0,0
償却,0,detail,17,,100,null,0,0,0,0
償却,0,detail,18,,100,null,0,0,0,0
償却,0,detail,19,,100,null,0,0,0,0
償却,0,detail,20,,100,null,0,0,0,0
償却,0,detail,21,,100,null,0,0,0,0
償却,0,detail,22,,100,null,0,0,0,0
方法,0,detail,0,,100,null,0,0,0,0
方法,0,detail,1,旧定額,99,null,935,456,73,33
方法,0,detail,2,旧定額,99,null,935,540,73,33
方法,0,detail,3,定類,57,null,933,624,62,36
方法,0,detail,4,,100,null,0,0,0,0
方法,0,detail,5,,100,null,0,0,0,0
方法,0,detail,6,,100,null,0,0,0,0
方法,0,detail,7,旧定率,99,null,933,962,71,33
方法,0,detail,8,旧定率,99,null,933,1045,71,34
方法,0,detail,9,,100,null,0,0,0,0
方法,0,detail,10,,100,null,0,0,0,0
方法,0,detail,11,,100,null,0,0,0,0
方法,0,detail,12,,100,null,0,0,0,0
方法,0,detail,13,旧定率,64,null,931,1467,69,32
方法,0,detail,14,旧定率,97,null,931,1549,69,32
方法,0,detail,15,旧定率,99,null,931,1630,67,33
方法,0,detail,16,旧定率,99,null,931,1714,67,34
方法,0,detail,17,旧定率,99,null,931,1797,67,33
方法,0,detail,18,119定,40,null,931,1880,65,35
方法,0,detail,19,,100,null,0,0,0,0
方法,0,detail,20,,100,null,0,0,0,0
方法,0,detail,21,,100,null,0,0,0,0
方法,0,detail,22,旧定率,99,null,929,2212,65,33
取得,0,detail,0,,100,null,0,0,0,0
取得,0,detail,1,H10.5,91,null,1014,420,92,30
取得,0,detail,2,H10. 5,95,null,1015,506,93,29
取得,0,detail,3,H21. 6,84,null,1014,590,92,29
取得,0,detail,4,,100,null,0,0,0,0
取得,0,detail,5,,100,null,0,0,0,0
取得,0,detail,6,,100,null,0,0,0,0
取得,0,detail,7,H10.3,93,null,1013,927,90,29
取得,0,detail,8,H10.3,78,null,1010,1012,92,30
取得,0,detail,9,,100,null,0,0,0,0
取得,0,detail,10,,100,null,0,0,0,0
取得,0,detail,11,,100,null,0,0,0,0
取得,0,detail,12,,100,null,0,0,0,0
